1kk4F07a_hXZkAKrbIZ7yj82BXbBuFuYF,Books
1Tbg2-JJYmbJZsc7RrAGSPJmF_Eog93Wj,Notes & Slides
1pKDBeR9Zjt2ug4h1KuVnIb97fM5Y7h37,Tutorials
1ayK9S66jQoLMEDp2i6ztwCH6tPWegW21,Tutorial Solutions
1Fh_dO13vQIYqhK4eugYXa44PsPurKuEh,Previous Year Papers
 first-year/draw2.html,
1VT2fjW5XUxXyXn9Cn9vnG0zCnDmtP7zK,Notes & Slides
1QdpP-f-d1_FUgbkgaPZwVlOmc-cN0gqB,Assignments & Solutions
 first-year/fundamentalphysics.html,
1F5mMd458NVh6jJAOnxfD_36D3lAQtt1Y,"Books
        "
1XAD__L6oxwmbIzm_zaXA6Rh-BrMgWahB,"Lab
        "
1kt65-sPYaRMSV21WJ1s65juW2QT-koNC,"Notes &
            Slides"
1PdZZ4rsCI7ha3jW7zY32fBYWFgC63j1K,Tutorials
1Pa1qdz5zTZeQUDVhpv1as4hBiZL1bp2v,"Tutorial
            Solutions"
1guG15K-3XrXRwe2_uyGbm4_G_xyQ16Fr,"Previous Year
            Papers"
 first-year/phy.html,
145scTFAInuKZfMLjHNzjzeFWmaaP11B9,"Books
      "
1EdBNEA_011qbrKlCGpfTL4Kc60INZn44,"Lab
      "
1R7aEUYakL8Y8ijQWm4BeCP0su5Lt1RSf,Notes & Slides
1K2Y4CpgZc0E3IH1imRHCEC2xZGW8pp0s,Tutorials
1MWKT-yBUruUyqTAO472rQi9OfgR2tUp4,Tutorial Solutions
1YejCJ4bPRIC3cy-gte_CU6m9Fq7lPwuy,Previous Year Papers
 first-year/statistical-modelling.html,
1fe_Df2ZbHo7BOZ-S3CjhxJKSNrz7qnuP,Syllabus
1vtOkEI110zdZDL5BUttT17U6iof8e9ks,Books
 first-year/chem.html,
1sqEsvqvcjM03KPPf5f1vmjrMgfBjgtkq,"Books
      "
1IWvokTmjDhoeXY29SkC_o4xmTkvDqZ4R,Notes & Slides
1cFWGBnPH8cJrgYWlak-PN6OwTDBIbGfk,Tutorials
1oiRgWLvZ8-C0aytzb5ksIejy_51k0mkv,"Tutorial Solutions
      "
12edUSdG0qGRibuS__H5GvTRqHTPMlpR2,"Previous Year Papers
      "
1HYDHz60t0EQq9hUs-cRNH6uoEuwfswvU,"Lab Manual
      "
 first-year/fundamental_of_economics.html,
1sl5TOdZtI_vtiRZJ-A748gxyy0Qlp-9M,Syllabus
16c6USeuhGGCtcm5B4f-acFuuv6CD10GL,Notes & Slides
 first-year/introduction_to_programming.html,
14U5oDM5Wtm2oTIe2hQiJaHy2EAvsb4j7,"Books
      "
1DGqz7Jj9scfSqt37a3GUzu4QQnOOL2Rr,Notes & Slides
1FoOcV1HOm4cOtwpgqPT3IOfg4y-3AKNW,"Lab Assignments
      "
1mZ3nZk6ATYrq3fQt0CDnBqiJn20sa8Ll,"Lab Codes
      "
1w71spnqTPuGAIFbyBrRWp3fDQ8KI6vhq,Previous Year Papers
 second-year/biotech/biosafety.html,
1EIvb0fjmbvNo25iDKSquMPFnZJMNrrIK,"Previous Year
      Papers"
 second-year/biotech/industrialbiotech.html,
1ylUmPLiyoef-zNrrnXm1qiOuhjkXR55A,"Previous Year
      Papers"
 second-year/biotech/foodscience.html,
1aKBnhebMliyLJyalJiv0Gevmohwad6kn,Books
1xg3MNfSqpnp59VI0Qsx4LQOmCPYXoggA,Notes & Slides
1NGBIXptwUHRlAqVwCdEZXqHVA8D83tXu,"Previous Year
      Papers"
 second-year/biotech/biochemistry.html,
1HX1SzWNTLvFVUwEI3NQQv0LrrsNF0JD3,Notes & Slides
1g1keLEok34C6XTfJiE9vJ0KfQwWJaQIZ,"Previous Year
      Papers"
 second-year/biotech/unitoperations.html,
1G-i8M0Co5wv7HDd0A6LpnsdHrtgWZJl1,"Previous Year
      Papers"
 second-year/biotech/immunotech.html,
10j3dAng5q4h6jr7EEAaew2mykLd1pHB1,"Notes &
      Slides"
1k4CduPdWz24r9ga6Ps-t46OcrgIKeut7,"Previous Year
      Papers"
 second-year/biotech/bioanalyticaltech.html,
1_hxKwHFW3BXEzuu9fDt5y1W16Wy1cqoZ,"Previous Year
      Papers"
 second-year/biotech/molecularbiology.html,
1tCj33arUh_ZAqTRainppg6IFjXUxY6rN,Books
