"
      UBT602
    ","
      Bio Infoand Stats
",Lab,third-year,"1y41Ae-9w1Ark2lfDMaJLKQpk4wOoo2L9

        ",Biotech,bio-infoandbio-stat.html,,,,
"
        UCS608
    ","
Parellel&DistributedComputing
    ","Lab
            Assignment",third-year,1DoZVoiFViPVJ0u6AJZfj6H-KzPCp0aTu,cse,Branch Electives,pdc.html,,,
"
        UCS608
    ","
Parellel&DistributedComputing
    ","Notes &
            Slides",third-year,1k4Xvx-Bj7h6wrpAMjt5sVBgSr6gEy_gs,cse,Branch Electives,pdc.html,,,
"
        UCS608
    ","
Parellel&DistributedComputing
    ",Books,third-year,1BKsFSavYNcOH6TrHcqjUL0NmLYCpl2kI,cse,Branch Electives,pdc.html,,,
"
            UCS633
        ","
            DataAnalytics
",Lab,third-year,"1I_Oen8v2dNZAKcYPqBrXQnuRR4TJIqIw
        ",cse,Branch Electives,dataanalytics.html,,,
"
            UCS633
        ","
            DataAnalytics
",Books,third-year,"1M_EObdcQydl7NNySZmpNIumiNpYsBhm2
        ",cse,Branch Electives,dataanalytics.html,,,
"
            UCS633
        ","
            DataAnalytics
",Notes & Slides,third-year,"1wvEQjojYuo_7ns9siTsC2n5T7oDmvCxv
        ",cse,Branch Electives,dataanalytics.html,,,
"
      UML501
    ","
MachineLearning
    ",Syllabus,third-year,1zdUUgcetSjyPYw_k9PydAEviIg3CYEQZ,cse,Branch Electives,machinelearning.html,,,
"
      UML501
    ","
MachineLearning
    ",Papers,third-year,17Ge-UvIUXWgtpAf0rLVCQhTqhL8f4Iht,cse,Branch Electives,machinelearning.html,,,
"
      UML501
    ","
MachineLearning
    ",Lab Assignment,third-year,14usany7y80NDQkasoaWix8qCpRVHDjb,cse,Branch Electives,machinelearning.html,,,
"
      UML501
    ","
MachineLearning
    ",Notes & Slides,third-year,1mYfZ1X7i6sQdjWqUuIglPu8D8iKTkaks,cse,Branch Electives,machinelearning.html,,,
"
      UHU009
    ","
CognitiveScience
    ",Notes & Slides,third-year,1Ed6_YB8T8o7DzAV5mo7qTLohRiidNBh3,cse,Generic Electives,cognitive.html,,,
"
      UCS001
    ","
      Cyber
      Security
",Books,third-year,1Pq_AD5TP0kqnTPpOVG0aSzxBHLZrxcOi,cse,Generic Electives,cyberSecurity.html,,,
"
      UCS001
    ","
      Cyber
      Security
",Notes & Slides,third-year,1sStaeDFD-s1VWGc6RRdyae82i2A_5brK,cse,Generic Electives,cyberSecurity.html,,,
"
      UCS001
    ","
      Cyber
      Security
","Previous
            Year Papers",third-year,1W5mKUL-AR1ICbbTtKYGlQJJjWMcxpTmJ,cse,Generic Electives,cyberSecurity.html,,,
"
      UHU008
    ","
      Introduction
      toCorporateFinance
    ",Syllabus,third-year,1ceJo01Nj-slN2_Bf_FKPbgK1xD03YSpH,cse,Generic Electives,corporate_fianance.html,,,
"
      UHU008
    ","
      Introduction
      toCorporateFinance
    ",Books,third-year,1__SYAG8eEGfljDw_6KkP4y212KMupRIt,cse,Generic Electives,corporate_fianance.html,,,
"
      UHU008
    ","
      Introduction
      toCorporateFinance
    ",Notes & Slides,third-year,1mfAhegd0U1cfOJDjTJN9gnHq8cR2_pRq,cse,Generic Electives,corporate_fianance.html,,,
"
      UHU006
    ","
      Introductory Course
      to French
",Books,third-year,1Pq_AD5TP0kqnTPpOVG0aSzxBHLZrxcOi,cse,Generic Electives,French.html,,,
"
      UHU006
    ","
      Introductory Course
      to French
",Notes & Slides,third-year,1pX285bDribq7DzkbNAGHFwKZrC3bbjnc,cse,Generic Electives,French.html,,,
"
      UHU006
    ","
      Introductory Course
      to French
","Previous
            Year Papers",third-year,1XwfKVxXEKNX0wzSUMoq0U8tA0xVpLtak,cse,Generic Electives,French.html,,,
"
      UMA066
    ","
GraphTheory
    ",Notes & Slides,third-year,1eLBVBecN0l_UFsGq5uz89xdoe7vTgck4,cse,Generic Electives,graphTheory.html,,,
"
      UME515
    ","
      ManufacturingTechnology
",Notes & Slides,third-year,1vHUcrLfRJ1wIRosZs_T1qtO9ZKXAJ-cg,mee,mantech.html,,,,
"
      UME515
    ","
      ManufacturingTechnology
",Tutorials,third-year,1p9TTFeOuoU657hIf6Sj-Ni2JERkDL2Nx,mee,mantech.html,,,,
"
      UME515
    ","
      ManufacturingTechnology
",Previous Year Papers,third-year,1MtKTWJ-XutgDR5TnY0gXi991X1bDhq-X,mee,mantech.html,,,,
,"
      DevelopmentBiology
",Notes & Slides,first-year,1zxl19RSen0plbDRhQujr-76G1wKaFzTX,devbiology.html,,,,,
,"
      DevelopmentBiology
",Previous Year Papers,first-year,1pA5FsGZf35JbJjnRbHiDNObFsRCoqcLW,devbiology.html,,,,,
,"
      Biochemistry1
    ",Notes & Slides,first-year,12vHC-xiUVRaJgzGGQ3TcikD9K5Byx6-x,biochem.html,,,,,
